City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
393,Troitskoye,RU,68.11,broken clouds,52.98,84.68,
400,Batagay-Alyta,RU,60.01,clear sky,67.8,130.41,
404,Vacha,RU,68.63,clear sky,55.8,42.77,
406,Umuahia,NG,72.09,overcast clouds,5.53,7.49,Hotel Macbek Limited
411,Keetmanshoop,,57.2,clear sky,-26.58,18.13,Quiver Inn Guesthouse
413,Alcaniz,ES,68.0,clear sky,41.05,-0.13,Hotel Ciudad de Alcañiz
414,Hamilton,US,73.0,mist,39.18,-84.53,Six Acres Bed & Breakfast
418,Siavonga,ZM,57.0,clear sky,-16.54,28.71,Lavongora Waterfront Lodge
420,Altamira,BR,73.63,overcast clouds,-3.2,-52.21,Requinte Hotel
421,Beloha,MG,59.81,clear sky,-25.17,45.05,
423,Zhezkazgan,KZ,64.4,overcast clouds,47.8,67.71,Kvartiry Posutochno.
424,Hualmay,PE,60.76,broken clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
429,Tecpan,GT,64.4,overcast clouds,14.76,-90.99,San Ricardo Restaurante y Hotel
432,Kenora,CA,71.6,scattered clouds,49.82,-94.43,Maynard Lake Lodge
433,Bouna,CI,72.66,scattered clouds,9.27,-3.0,Hotel Reserve
434,Tigzirt,DZ,72.19,clear sky,36.89,4.12,Appartement de la plage
440,Olot,ES,69.8,scattered clouds,42.18,2.49,Hotel Riu Fluvià
444,Poum,NC,70.65,overcast clouds,-20.23,164.02,Gîte kajeon
446,Aleksandrovskoye,RU,68.0,clear sky,44.71,43.0,Mini hotel Tranzit
451,Cajazeiras,BR,70.03,broken clouds,-6.89,-38.56,Oasis Hotel
452,Ilhabela,BR,69.28,scattered clouds,-23.78,-45.36,Ilha Flat Hotel
454,San Cristobal,VE,66.06,broken clouds,7.77,-72.22,Pirineos
458,Ambanja,MG,72.63,overcast clouds,-13.68,48.45,Hotel Marrakech
459,Lukovetskiy,RU,62.6,few clouds,64.3,41.92,Gostinitsa
461,Laramie,US,69.8,clear sky,41.31,-105.59,Ramada by Wyndham Laramie
462,Urumqi,CN,71.6,overcast clouds,43.8,87.6,Hua Ling Grand Hotel Urumqi
465,Inhapim,BR,63.18,clear sky,-19.55,-42.12,hotel Carreiro em Inhapim/MG
466,Batemans Bay,AU,57.99,clear sky,-35.72,150.18,Coachhouse Marina Resort - Batemans Bay
469,Ipueiras,BR,66.76,clear sky,-7.03,-40.45,
471,Maragogi,BR,72.73,clear sky,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
472,Cap Malheureux,MU,73.0,overcast clouds,-19.98,57.61,Pereybere Hotel & Spa
474,Bairnsdale,AU,59.0,broken clouds,-37.83,147.62,Town Central Motel
483,Leh,IN,56.88,clear sky,34.17,77.58,Hotel Ladakh Greens
486,Yerbogachen,RU,55.99,overcast clouds,61.28,108.01,
488,Vikhorevka,RU,68.0,broken clouds,56.12,101.16,Pansionat Sosnovyye Rodniki
495,Anchorage,US,62.6,few clouds,61.22,-149.9,Hotel Captain Cook
499,Kungurtug,RU,72.61,overcast clouds,50.6,97.52,
504,Tocopilla,CL,58.05,scattered clouds,-22.09,-70.2,Hotel Galvarino
505,Makueni,KE,60.48,overcast clouds,-1.8,37.62,PERMA HOTEL
510,Huarmey,PE,61.72,overcast clouds,-10.07,-78.15,Hotel Miramar
511,Krasnogorskiy,RU,69.26,overcast clouds,54.6,61.23,
513,Baruun-Urt,MN,74.93,clear sky,46.68,113.28,Ахмадын амралт сувилал
514,Ewo,CG,73.87,broken clouds,-0.87,14.82,Residence Elonda Ewo
515,Verkhoyansk,RU,67.15,clear sky,67.54,133.38,
516,Khingansk,RU,61.34,overcast clouds,49.12,131.18,
518,Codrington,AU,56.21,overcast clouds,-38.27,141.97,Codrington Gardens Bed And Breakfast
519,Belyy Yar,RU,68.0,light intensity shower rain,53.6,91.39,Pasportnyy Stol
522,Turayf,SA,71.6,clear sky,31.67,38.66,Swiss Spirit Hotel & Suites Turaif
524,Ponta Delgada,PT,66.2,light intensity shower rain,37.73,-25.67,Vila Nova Hotel
525,Kirovskiy,RU,74.66,overcast clouds,45.09,133.51,"Uyut, Gostinitsa"
530,Florence,IT,70.0,clear sky,43.77,11.25,Italiana Hotels Florence
532,Kaeo,NZ,59.0,clear sky,-35.1,173.78,Bushido Lodge
544,Vuktyl,RU,71.76,overcast clouds,63.86,57.31,Mini-Hotel Lokomotiv
559,Nemuro,JP,68.0,broken clouds,43.32,145.57,Hotel Nemuro Kaiyoutei
561,Bria,CF,69.4,overcast clouds,6.54,21.99,
562,Viseu,PT,69.01,clear sky,40.66,-7.91,Montebelo Viseu Congress Hotel
568,Mao,ES,73.4,clear sky,39.89,4.27,ARTIEM Capri
572,Sao Jose Da Coroa Grande,BR,73.29,clear sky,-8.9,-35.15,Crôa Mares Hotel
573,Vila Franca Do Campo,PT,66.2,light intensity shower rain,37.72,-25.43,Pestana Bahia Praia
578,Bilibino,RU,61.23,overcast clouds,68.05,166.44,Gostinitsa Severyanka
580,Gravenhurst,CA,73.99,clear sky,44.92,-79.37,Residence Inn by Marriott Gravenhurst Muskoka Wharf
581,Santa Barbara,US,75.0,clear sky,34.42,-119.7,Kimpton Canary Hotel
587,Sarakhs,IR,69.8,clear sky,36.54,61.16,Sarakhs Abrisham Hotel
588,Hovd,MN,69.17,scattered clouds,48.01,91.64,Hotel Khovd
589,Jiblah,YE,65.1,broken clouds,13.92,44.15,Tiger Tower Hotel
590,Krasnopavlivka,UA,70.12,clear sky,49.14,36.33,
