City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
159,Korla,CN,41.76,86.15,85.51,18,99,4.92,overcast clouds,0.0,0
160,El Tigre,VE,8.89,-64.25,75.69,88,100,6.44,overcast clouds,0.0,0
161,Ahipara,NZ,-35.17,173.17,57.7,68,29,15.82,light rain,0.17,0
162,Cape Canaveral,US,28.41,-80.6,77.0,88,20,7.61,few clouds,0.0,0
163,Saint-Philippe,RE,-21.36,55.77,71.6,94,75,12.75,mist,0.0,0
164,Kitob,UZ,39.08,66.83,86.45,16,0,2.55,clear sky,0.0,0
165,Nong Ki,TH,14.69,102.54,91.0,79,40,4.7,scattered clouds,0.0,0
166,Manggar,ID,-2.88,108.27,81.91,80,98,14.32,light rain,0.15,0
167,Mayo,US,38.89,-76.51,73.0,84,90,6.93,heavy intensity rain,6.66,0
168,Thinadhoo,MV,0.53,72.93,83.62,78,94,12.71,overcast clouds,0.0,0
169,Bijie,CN,27.31,105.29,73.29,86,100,4.47,moderate rain,2.31,0
170,Sitka,US,57.05,-135.33,57.2,76,75,9.17,broken clouds,0.0,0
171,El Rusio,HN,14.47,-86.37,67.42,94,100,1.52,overcast clouds,0.0,0
172,Arraial Do Cabo,BR,-22.97,-42.03,71.76,89,0,11.83,clear sky,0.0,0
173,Freeport,US,40.66,-73.58,73.0,94,75,16.11,broken clouds,0.0,0
174,Longyearbyen,SJ,78.22,15.64,51.8,71,75,19.46,light rain,0.0,0
175,Hays,US,30.05,-98.03,87.01,68,60,1.99,moderate rain,1.58,0
176,Bakel,SN,14.9,-12.46,87.42,48,41,5.06,light rain,0.22,0
177,Tsagan Aman,RU,47.56,46.72,84.36,26,0,4.52,clear sky,0.0,0
178,Atbasar,KZ,51.8,68.33,69.12,66,16,5.99,few clouds,0.0,0
179,Westport,US,41.14,-73.36,70.0,90,100,10.49,overcast clouds,0.0,0
180,Puri,IN,19.8,85.85,82.4,88,75,9.17,haze,0.0,0
181,Manitouwadge,CA,49.12,-85.84,61.48,95,100,7.81,overcast clouds,0.0,0
182,Kalemie,CD,-5.95,29.19,68.56,55,48,3.69,scattered clouds,0.0,0
183,Saldanha,ZA,-33.01,17.94,53.6,87,55,5.82,broken clouds,0.0,0
184,Palmer,US,42.16,-72.33,69.8,94,75,3.04,heavy intensity rain,5.33,0
185,Los Llanos De Aridane,ES,28.66,-17.92,71.6,83,1,12.75,clear sky,0.0,0
186,Ribeira Grande,PT,38.52,-28.7,68.22,88,2,10.83,clear sky,0.0,0
187,Grand Gaube,MU,-20.01,57.66,73.0,91,100,3.0,overcast clouds,0.0,0
188,Bowen,AU,-20.02,148.23,75.2,57,85,17.22,overcast clouds,0.0,0
189,Flin Flon,CA,54.77,-101.86,64.09,54,29,7.34,scattered clouds,0.0,0
190,Labuhan,ID,-6.88,112.21,81.64,75,76,5.46,broken clouds,0.0,0
191,Port Augusta,AU,-32.5,137.77,55.99,58,0,9.17,clear sky,0.0,0
192,Guilin,CN,25.28,110.29,84.2,79,90,13.42,overcast clouds,0.0,0
193,Kosh-Agach,RU,50.0,88.67,56.57,62,79,0.83,broken clouds,0.0,0
194,Ingham,US,42.6,-84.38,75.0,88,1,4.7,clear sky,0.0,0
195,Wattegama,LK,6.8,81.48,84.2,79,20,9.17,few clouds,0.0,0
196,Manokwari,ID,-0.87,134.08,77.09,84,99,2.55,light rain,0.88,0
197,Fortuna,US,40.6,-124.16,59.0,76,90,9.17,overcast clouds,0.0,0
198,Kondinskoye,RU,59.65,67.41,73.49,65,56,5.91,broken clouds,0.0,0
199,Harindanga,IN,22.04,88.32,86.0,94,40,5.82,haze,0.0,0
200,Pundaguitan,PH,6.37,126.17,83.07,74,86,7.34,light rain,0.81,0
201,Mahur,IN,25.17,93.12,80.51,82,58,3.67,light rain,0.51,0
202,Boyolangu,ID,-8.12,111.89,80.65,74,79,9.4,broken clouds,0.0,0
203,Ancud,CL,-41.87,-73.82,37.0,82,87,3.36,overcast clouds,0.0,0
204,Lebanon,US,36.21,-86.29,80.6,74,75,3.78,broken clouds,0.0,0
205,Syriam,MM,16.77,96.24,84.2,79,75,3.36,broken clouds,0.0,0
206,Lasa,IT,46.62,10.7,53.6,71,40,5.82,scattered clouds,0.0,0
